LoadFactor,CentreDisp
0.00000,0.00000
0.05170,1.84600
0.11820,5.27100
0.15830,8.25700
0.18370,10.79900
0.19140,11.90400
0.19530,12.89200
0.19500,13.75200
0.19010,14.47200
0.18060,15.05000
0.16710,15.50100
0.13230,16.14500
0.09230,16.60200
0.05040,16.91500
0.00830,17.00800
-0.03120,16.69700
-0.06220,15.78000
-0.07390,15.20600
-0.08610,14.76700
-0.10010,14.52000
-0.11420,14.45100
-0.12470,14.86200
-0.12880,15.77800
-0.12710,16.96100
-0.11960,18.32000
-0.10550,19.81700
-0.08250,21.42000
-0.04840,23.10000
-0.00060,24.82400
0.06260,26.56500
0.14270,28.30200
0.24030,30.02300
0.35590,31.72000
0.48980,33.38800
0.64170,35.02400
0.81140,36.62600
1.03130,38.45000
